consumption (binary),soil humidity 2 (gr%/ml),temperature (celcius),air humidity (%),temperature/humidity
0,22.83,25.14,94.97,0.264715173
0,22.88,25.29,95,0.266210526
0,22.43,25.32,95.2,0.265966387
0,22.51,25.43,96,0.264895833
0,22.55,25.39,96,0.264479167
0,22.39,25.29,96,0.2634375
0,22.4,25.22,96,0.262708333
0,22.3,25.45,96,0.265104167
0,22.16,25.53,96,0.2659375
1,22.41,25.67,96,0.267395833
1,22.79,25.85,96,0.269270833
1,22.97,25.29,93.22,0.271293714
1,23.02,24.92,87.72,0.284085727
1,22.99,24.14,78.43,0.307790386
0,22.2,24.81,77.97,0.318199307
0,21.95,24.72,81.23,0.304321064
1,22.21,24.15,83.2,0.290264423
1,22.31,24.13,84.73,0.28478697
1,22.3,24.1,85,0.283529412
1,22.38,24.08,84.93,0.283527611
1,22.42,24.2,73.27,0.330285246
1,22.46,24.2,72.13,0.335505338
1,22.6,24.16,75.27,0.320977813
1,22.61,24.07,84.13,0.286104838
1,22.6,23.99,81.73,0.293527468
1,22.09,24.1,88,0.273863636
1,22.21,24.1,88,0.273863636
1,21.68,24.16,84.27,0.28669752
0,22.22,24.2,69.27,0.349357586
1,22.16,24.2,71.7,0.337517434
1,22.18,24.38,85.53,0.285046183
1,22.27,24.44,87.83,0.27826483
1,22.31,24.36,88.17,0.27628445
1,22.46,24.57,89,0.276067416
1,21.46,24.66,89,0.277078652
1,21.57,24.75,89,0.278089888
1,22.36,24.89,89,0.279662921
1,22.26,24.72,89,0.277752809
1,22.38,24.85,85.83,0.289525807
1,21.85,24.91,88.07,0.282843193
1,22.3,25,89,0.280898876
1,22.31,24.93,89.83,0.277524212
1,22.22,24.9,90,0.276666667
1,22.57,24.9,90,0.276666667
1,21.56,24.9,89.93,0.276882019
1,22.52,24.84,90,0.276
1,22.47,24.8,90,0.275555556
1,22.37,24.81,90,0.275666667
1,21.95,24.9,90,0.276666667
1,21.87,24.8,90,0.275555556
0,22.13,24.8,90,0.275555556
0,22.38,24.8,90,0.275555556
0,22.14,24.75,89.93,0.275214055
0,22.58,24.64,89.75,0.27454039
0,22.05,24.5,89,0.275280899
0,22.15,24.5,89.03,0.275188139
0,22.52,24.52,89,0.275505618
0,22.12,24.51,89,0.275393258
0,22.28,24.7,88.35,0.279569892
0,22.03,24.69,87.72,0.281463748
0,22.12,24.62,87.07,0.282760997
0,22.49,24.73,87,0.284252874
0,22.43,24.79,87,0.284942529
0,23.39,24.8,86.68,0.286109829
0,22.45,23.56,88.8,0.265315315
0,22.06,25.39,85,0.298705882
0,21.85,25.67,84.73,0.302962351
0,22.99,25.61,83.2,0.3078125
0,22.43,25.74,81.33,0.316488381
0,22.42,25.84,81,0.319012346
0,22.21,26.06,81,0.321728395
0,22.25,26.08,80.23,0.325065437
0,21.5,26.06,80,0.32575
0,22.14,26.2,80,0.3275
0,22,26.2,80,0.3275
0,21.97,26.2,80,0.3275
0,22.15,26.47,80.03,0.330750968
0,22.6,26.7,80,0.33375
0,21.97,26.7,80.27,0.332627383
0,22.4,26.7,80.93,0.329914741
0,21.87,26.7,81,0.32962963
0,22.02,26.67,81.73,0.326318365
1,22.05,25.93,84.63,0.306392532
0,22.31,25.6,80.97,0.316166481
1,22.33,26.99,81,0.333209877
1,22.27,25.88,82,0.315609756
1,21.95,26.2,82,0.319512195
1,22.23,26.49,82,0.32304878
1,22.51,26.68,82.98,0.321523259
1,22.92,26.7,83.98,0.317932841
1,22.49,26.7,84,0.317857143
1,23.51,26.7,84,0.317857143
1,23.79,26.7,84,0.317857143
1,23.41,26.7,84,0.317857143
1,23.36,26.84,84.07,0.319257761
1,23.54,26.85,84,0.319642857
1,23.68,26.75,83.93,0.318717979
1,23.15,26.68,83.8,0.318377088
1,22.61,26.52,81.78,0.324284666
1,24.05,27.03,81.62,0.331168831
1,23.36,27.09,82.35,0.328961749
0,23.35,27.27,82.97,0.328673014
1,23.38,27.39,83.43,0.328299173
1,23.69,27.91,84.32,0.331000949
1,23.5,27.82,84.73,0.328337071
1,23.13,27.71,84.9,0.326383981
1,22.9,27.83,84.48,0.329427083
1,22.71,27.97,84.15,0.33238265
1,23.12,28,84,0.333333333
1,23.09,28,84,0.333333333
1,22.67,28,84,0.333333333
1,23.31,28,84,0.333333333
1,23.07,28.06,84,0.334047619
1,23.45,28.01,83.28,0.336335255
1,22.61,28,83.03,0.337227508
1,23.58,27.99,83.13,0.336701552
1,22.73,27.66,83.92,0.329599619
1,22.98,27.67,83.97,0.329522448
1,22.8,27.98,83.2,0.336298077
1,23.07,27.74,83.87,0.33074997
1,23.07,27.6,84,0.328571429
1,22.55,27.44,83.6,0.328229665
1,22.78,27.13,82.43,0.329127745
1,23.07,26.94,81,0.332592593
1,22.77,27.45,81,0.338888889
1,22.84,27.58,80.17,0.34401896
0,23.06,27.47,80,0.343375
0,26.96,31.08,33.53,0.926931106
1,26.33,31.57,32.47,0.972282107
1,26.11,31.8,31.2,1.019230769
1,26,31.8,31,1.025806452
1,25.65,32.28,31,1.041290323
0,25.63,32.3,30.23,1.068475025
1,25.43,32.3,30.97,1.042944785
1,25.64,32,32.07,0.997817275
1,25.37,31.8,32.3,0.984520124
1,25.09,31.8,32,0.99375
1,25.47,31.8,32.3,0.984520124
1,25.73,31.8,32.92,0.965978129
0,24.86,31.8,32.63,0.974563285
1,24.92,31.8,33,0.963636364
1,24.81,31.8,32.05,0.992199688
1,24.9,32.2,32,1.00625
1,24.79,32.3,31.93,1.011587848
1,24.56,32.3,31,1.041935484
1,24.7,32.3,32.4,0.99691358
0,24.44,32.3,32,1.009375
1,24.33,32.3,32,1.009375
1,23.66,32.3,32,1.009375
1,24.27,32.3,32.03,1.008429597
1,23.8,32.03,32,1.0009375
1,23.97,32.02,32,1.000625
1,23.54,31.8,32.9,0.96656535
1,23.71,31.8,33,0.963636364
0,23.74,31.8,33,0.963636364
1,23.08,31.8,32.03,0.992819232
1,23.25,31.8,32,0.99375
1,22.87,31.8,32,0.99375
1,23.34,31.8,31.83,0.999057493
1,24.14,31.8,32,0.99375
1,22.38,31.8,32,0.99375
1,21.95,31.8,32,0.99375
1,21.95,31.8,32,0.99375
1,22,31.8,32.57,0.976358612
1,23.1,31.89,32.83,0.971367652
1,23.61,32.2,32.83,0.980810235
1,21.65,32.3,32.23,1.00217189
1,21.67,32.3,32,1.009375
1,21.88,32.3,31.5,1.025396825
1,21.88,32.3,31.9,1.012539185
1,21.75,32.3,32,1.009375
0,21.9,32.33,32.33,1
1,21.98,32.8,32.7,1.003058104
1,21.77,32.8,33.77,0.971276281
1,22.11,32.8,34.3,0.956268222
1,22.22,32.8,34.67,0.946062879
1,22.42,32.73,34,0.962647059
1,21.97,32.3,34.17,0.945273632
1,22.53,32.3,34.45,0.937590711
0,22.15,32.3,35.5,0.909859155
1,22.03,32.3,35.55,0.908579466
1,22.2,32.3,35.43,0.911656788
1,22.22,32.3,35.32,0.914496036
1,22.17,32.44,35.98,0.901612007
1,22.13,32.39,35.77,0.905507408
1,22.17,32.3,35.85,0.90097629
1,22.23,32.3,35,0.922857143
1,22.59,32.3,35.03,0.9220668
1,23.54,32.3,34.53,0.935418477
1,22.94,32.3,35,0.922857143
0,22.18,32.3,35,0.922857143
1,23.9,32.3,35,0.922857143
1,22.19,32.3,35,0.922857143
1,22.15,32.46,35,0.927428571
1,22.84,32.8,35.83,0.915433994
1,22.2,33.74,38.8,0.869587629
1,23.36,34.95,44.23,0.790187655
1,23.36,34.88,52,0.670769231
1,23.66,32.62,51.47,0.633767243
0,23.36,30.69,67,0.458059701
1,22.55,29.12,75,0.388266667
1,24,28.62,83.7,0.341935484
1,23.46,27.86,93.8,0.297014925
1,23.33,27.6,98,0.281632653
1,22.65,33.6,61.07,0.550188308
1,22.44,33.4,97.73,0.341757904
1,22.28,31.79,98,0.324387755
1,22.44,30.14,98,0.30755102
1,22.61,29.45,98,0.300510204
1,22.34,28.99,98,0.295816327
1,22.4,28.9,98,0.294897959
1,22.28,28.68,98,0.292653061
1,22.47,28.18,98,0.28755102
1,22.59,28.16,98,0.287346939
1,22.12,28.33,98,0.289081633
1,22.54,28.6,98,0.291836735
1,22.66,28.5,98,0.290816327
0,22.51,28.51,98,0.290918367
1,22.71,28.76,98,0.293469388
1,22.47,28.9,98,0.294897959
1,22.79,28.15,98,0.287244898
1,22.93,27.46,98,0.280204082
0,20.8,44.05,10,4.405
1,20.99,43.5,10,4.35
1,21.91,43.59,10,4.359
1,22.18,43.91,10,4.391
1,23.12,43.68,10,4.368
1,22.7,43.64,10,4.364
1,22.7,43.92,10,4.392
1,22.18,43.85,10,4.385
1,23.25,43.17,10,4.317
1,23.08,42.96,10.23,4.19941349
0,23.22,42.92,10.23,4.195503421
0,22.29,42.98,10.08,4.263888889
1,22.53,43,10,4.3
1,22.67,42.63,10.75,3.965581395
1,23.24,42.03,11,3.820909091
1,22.69,41.68,11,3.789090909
1,22.64,41.6,11,3.781818182
1,22.11,41.06,11,3.732727273
1,22.54,40.27,11,3.660909091
1,22.54,40.1,11,3.645454545
1,23.38,40.1,11,3.645454545
1,22.57,40.52,11.63,3.484092863
1,22.38,40.6,11,3.690909091
1,22.14,40.6,11,3.690909091
0,22.28,40.37,11,3.67
1,22.25,40.1,11,3.645454545
1,21.76,39.98,11.22,3.563279857
0,22.22,39.59,11.88,3.332491582
0,22.05,40.1,11,3.645454545
0,21.99,40.1,11,3.645454545
0,22.56,40.66,11,3.696363636
0,21.85,41.1,11,3.736363636
0,22.12,41.31,11,3.755454545
0,21.94,41.21,11,3.746363636
0,20.27,39.83,11.53,3.454466609
0,20.97,38.45,12.1,3.17768595
0,21.17,37.06,13,2.850769231
0,21.02,36.53,14.6,2.502054795
0,20.84,36.32,14.03,2.588738418
0,21.81,36.69,15.27,2.402750491
0,20.78,37.41,13,2.877692308
1,21.01,38.1,12.17,3.130649137
1,21.45,38.72,12,3.226666667
1,21.87,39.77,11.53,3.449262793
1,22.22,40.15,11,3.65
1,22.44,40.1,11,3.645454545
1,21.42,39.92,11.33,3.523389232
1,21.97,39.15,12,3.2625
1,21.92,38.72,12,3.226666667
1,21.76,38.51,12,3.209166667
1,21.83,38.17,12,3.180833333
1,22.16,38,12,3.166666667
1,20.81,37.59,12.72,2.955188679
1,22.05,37.41,13,2.877692308
1,21.87,37.41,13,2.877692308
1,21.87,37.51,13.43,2.793000745
1,22.28,38,13.12,2.896341463
1,22.19,38.19,12.87,2.967365967
1,22.12,38.18,12.63,3.022961203
1,22.53,38,14.83,2.562373567
1,22.45,37.65,13.42,2.805514158
1,21.97,36.7,14.45,2.539792388
1,22.54,35.42,17.17,2.062900408
1,22.33,34.85,22.23,1.567701305
1,22.39,34.41,24.9,1.381927711
0,22.06,34.04,25.55,1.332289628
1,22.23,33.8,27.27,1.239457279
1,22.13,33.21,24.02,1.382597835
0,22.61,32.77,25.7,1.275097276
1,21.54,32.3,24.15,1.33747412
0,21.91,32.3,28.95,1.115716753
0,21.38,32.3,29.63,1.090111374
0,21.24,32.3,30.2,1.069536424
0,21.88,32.3,31.07,1.039588027
0,22.27,32.3,28.87,1.118808452
0,22.25,32.3,27.17,1.188811189
0,22.1,32.3,30.5,1.059016393
0,21.78,32.22,24.73,1.302871007
0,21.65,31.8,22.67,1.402734892
0,21.87,31.59,21.53,1.467254993
0,21.81,31.77,26.77,1.186776242
0,21.81,31.8,23.87,1.332216171
0,21.81,31.66,21.47,1.474615743
0,21.65,31.59,23.13,1.365758755
0,21.42,31.49,21.7,1.451152074
0,21.77,31.3,20.9,1.497607656
0,22.02,31.3,20.07,1.559541604
0,21.91,31.3,21.6,1.449074074
0,21.48,31.29,22.5,1.390666667
0,21.5,31.3,22.57,1.386796633
0,21.81,30.86,19.47,1.585002568
0,21.5,30.84,23.2,1.329310345
0,21.75,31.3,24.13,1.297140489
0,21.82,31.3,23.43,1.335894153
0,21.79,31.36,24.67,1.27117957
0,21.49,31.7,24.93,1.271560369
0,21.74,31.8,23.77,1.337820782
0,21.99,31.8,23.47,1.354921176
0,21.46,31.78,18.67,1.702196036
1,21.61,31.42,20,1.571
1,22.7,31.78,21.8,1.457798165
1,21.75,31.26,18.37,1.701687534
1,21.84,30.8,20.37,1.512027491
1,21.97,30.35,26.1,1.162835249
1,21.34,30.06,28.53,1.05362776
1,23.09,30.14,32.17,0.936897731
1,22.66,30,34.83,0.861326443
0,22.16,29.8,34,0.876470588
1,21.77,29.8,34.27,0.869565217
1,22.16,29.8,35.03,0.850699401
1,22.7,29.53,34.5,0.855942029
1,23.12,29.31,37.13,0.789388635
1,23.01,29.3,38,0.771052632
0,22.42,29.68,40.1,0.740149626
0,22.47,29.8,41.33,0.721025889
0,22.55,29.8,40.67,0.732726826
1,22.81,29.8,40.33,0.738904042
1,22.93,29.39,37.2,0.790053763
1,23.65,29.3,37.33,0.784891508
1,22.63,29.03,35.8,0.810893855
1,22.44,28.9,35.98,0.803224013
1,22.72,28.8,35.27,0.816557981
1,23.14,28.5,41,0.695121951
1,22.92,28.5,68.75,0.414545455
1,22.86,28.5,73.93,0.385499797
0,26.76,35.9,13,2.761538462
0,26.22,36.3,13,2.792307692
0,26.48,35.71,13,2.746923077
0,26.8,34.72,13.72,2.530612245
0,26.68,33.81,14,2.415
0,26.56,33.46,14,2.39
0,26.09,33.24,14.08,2.360795455
0,25.66,32.76,15,2.184
0,26.71,32.04,15,2.136
0,26.46,31.87,15,2.124666667
0,26.5,32.22,15,2.148
0,26.56,31.6,15,2.106666667
0,26.55,31.3,15,2.086666667
0,26.35,31.3,15,2.086666667
0,27.22,31.3,15,2.086666667
0,27.93,31.3,15,2.086666667
0,26.48,30.96,15,2.064
0,26.68,29.53,16,1.845625
0,26.3,29.8,16,1.8625
0,26.58,29.8,16,1.8625
0,26.68,29.8,16,1.8625
0,26.58,30.06,15.35,1.958306189
0,26.55,30.2,15,2.013333333
0,26.6,30.07,15.32,1.962793734
0,26.49,29.8,16,1.8625
0,26.52,29.6,16,1.85
0,26.51,29.47,16,1.841875
0,26.4,29.8,16,1.8625
0,26.09,29.8,16,1.8625
0,26.59,29.83,15.87,1.879647133
0,26.46,30.2,15,2.013333333
0,26.64,30.2,15,2.013333333
0,23.59,32.78,15,2.185333333
0,23.42,32.3,15,2.153333333
0,23.44,31.94,15,2.129333333
0,23.56,31.8,15,2.12
0,23.33,31.72,15,2.114666667
0,23.45,31.24,15,2.082666667
0,23.39,30.8,15,2.053333333
0,23.16,31.08,15,2.072
0,23.28,31.3,15,2.086666667
0,23.14,31.39,15,2.092666667
0,23.27,31.8,15,2.12
0,23.34,32.11,15,2.140666667
0,22.95,32.3,15,2.153333333
0,23,31.88,15,2.125333333
0,23.77,31.8,15,2.12
0,23.01,31.8,15,2.12
0,22.92,31.8,15,2.12
0,22.85,31.8,15,2.12
0,23.24,31.93,15,2.128666667
0,22.81,31.82,15,2.121333333
0,23.31,31.8,15,2.12
0,22.83,31.85,15,2.123333333
0,22.97,31.92,15,2.128
0,22.99,31.8,15,2.12
0,22.7,31.8,15,2.12
0,22.61,31.8,15,2.12
0,22.8,31.8,15,2.12
0,22.63,31.8,15,2.12
0,22.78,31.8,15,2.12
0,22.07,31.8,15,2.12
0,22.62,31.8,15,2.12
0,22.54,31.43,15,2.095333333
0,22.59,30.87,15,2.058
0,22.49,30.8,15,2.053333333
0,22.48,30.79,15,2.052666667
0,22.46,30.8,15,2.053333333
0,22.71,30.8,15,2.053333333
0,22.37,31,15,2.066666667
0,22.42,31.3,15,2.086666667
0,22.38,31.36,15,2.090666667
0,22.38,31.8,15,2.12
0,22.18,31.82,15,2.121333333
0,22.53,31.82,15,2.121333333
0,22.28,31.8,15,2.12
0,22.4,31.8,15,2.12
0,22.27,32.18,15,2.145333333
0,21.98,32.74,15,2.182666667
0,22.2,32.81,14.98,2.190253672
0,22.2,33.3,14,2.378571429
0,22.31,33.31,14,2.379285714
0,22.41,33.8,14,2.414285714
0,22.32,33.8,14,2.414285714
0,22.22,34.07,14,2.433571429
0,22.2,34.29,14,2.449285714
0,22.71,34.86,13.68,2.548245614
0,22.2,35.46,13,2.727692308
0,22.45,36.2,13,2.784615385
0,22.42,36.9,13,2.838461538
0,22.39,37.13,13,2.856153846
0,22.32,37.26,13,2.866153846
0,22.38,37.41,13,2.877692308
0,22.17,37.82,12.38,3.054927302
0,22.3,38,12,3.166666667
0,22.29,38.42,12,3.201666667
0,22.09,38.5,12,3.208333333
0,22.45,38.59,12,3.215833333
0,22,39.15,12,3.2625
0,21.92,43.26,10.25,4.220487805
0,22.15,41.2,11,3.745454545
0,22.01,39.78,11.57,3.438202247
0,22.19,41.31,11,3.755454545
0,22.09,42.95,10.35,4.149758454
0,21.68,43.54,10,4.354
0,21.93,43,10,4.3
0,22.21,44,10,4.4
0,21.88,45.57,9.18,4.964052288
0,22.04,47.58,8.75,5.437714286
0,21.96,48.89,8,6.11125
0,21.9,49.91,7.62,6.549868766
0,22,50.3,7,7.185714286
0,22.33,50.93,7,7.275714286
0,21.94,51.8,7,7.4
0,22.32,52.68,7,7.525714286
0,22.26,52.58,7,7.511428571
0,22.03,52.1,7,7.442857143
0,22.21,51.84,7,7.405714286
0,22.41,52.17,7,7.452857143
0,22.1,52.83,6.77,7.803545052
0,22.35,52.84,6.73,7.85141159
0,22.23,53.51,6,8.918333333
0,22.15,53.91,6,8.985
0,22.24,53.12,6.5,8.172307692
0,22.28,52.81,6.8,7.766176471
0,22.14,53.46,6,8.91
0,22.36,53.75,6,8.958333333
0,22.18,52.24,6.73,7.762258544
0,22.11,50.49,7.1,7.111267606
0,22.09,49.32,8,6.165
0,22.1,49.46,8,6.1825
0,22.11,49.42,8,6.1775
0,22.17,47.58,8.65,5.500578035
0,22.16,46.2,9,5.133333333
0,22.07,45.42,9.18,4.947712418
0,21.83,44.23,10,4.423
0,21.95,43.18,10,4.318
0,21.95,43.94,10,4.394
0,22.02,45.33,9.32,4.863733906
0,22.18,46.61,9,5.178888889
0,22.07,47.83,8.55,5.594152047
0,22.06,49.05,8,6.13125
0,22.18,49.82,7.93,6.282471627
0,22.02,49.44,8,6.18
0,22.02,49.2,8,6.15
0,21.98,49.05,8,6.13125
0,22.15,48.26,8,6.0325
0,21.88,48.7,8,6.0875
0,21.85,48.12,8.27,5.818621524
0,21.12,46.35,9,5.15
0,21.63,44.21,9.9,4.465656566
0,21.71,42.2,10.77,3.918291551
0,21.71,40.46,11,3.678181818
0,21.68,39.99,11.2,3.570535714
0,21.04,38.98,12,3.248333333
0,21.35,38.5,12,3.208333333
0,21.65,38.5,12,3.208333333
0,21.57,39.23,12,3.269166667
0,20.57,39.5,12,3.291666667
0,21.42,39.05,12,3.254166667
0,21.62,38.62,12,3.218333333
0,21.36,38.28,12,3.19
0,21.59,38,12,3.166666667
0,21.49,37.41,13,2.877692308
0,21.86,36.99,13,2.845384615
0,21.06,36.9,13,2.838461538
0,21.44,36.64,13,2.818461538
0,21.66,36.32,13,2.793846154
0,21.71,36.31,13,2.793076923
0,21.61,36.26,13,2.789230769
0,21.48,36.07,13,2.774615385
0,21.31,36.32,13,2.793846154
0,21.51,36.4,13,2.8
0,21.06,36.76,13,2.827692308
0,21.94,35.86,13,2.758461538
0,21.41,35.6,13,2.738461538
0,21.45,36.29,13,2.791538462
0,21.27,37.62,12.57,2.992840095
0,21.34,37.51,12.87,2.914529915
0,21.36,37.41,13,2.877692308
0,21.54,37.4,13,2.876923077
0,21.29,37.41,13,2.877692308
0,21.39,37.04,13,2.849230769
0,21.25,36.9,13,2.838461538
0,21.26,36.9,13,2.838461538
0,20.61,36.55,13,2.811538462
0,21.29,36.3,13,2.792307692
0,21.02,36.06,13,2.773846154
0,21.24,35.6,13,2.738461538
0,21.38,35.48,13,2.729230769
0,20.15,35.31,13,2.716153846
0,21,35.45,13,2.726923077
0,21.52,35.35,13,2.719230769
0,20.85,35.6,13,2.738461538
0,21.11,35.6,13,2.738461538
0,21.41,35.6,13,2.738461538
0,21.07,35.6,13,2.738461538
0,21.38,36.16,13,2.781538462
0,21.18,36.86,13,2.835384615
0,21.13,37.8,12.38,3.053311793
0,20.96,38.75,12,3.229166667
0,21.09,39.36,12,3.28
0,21.5,39.55,11.95,3.309623431
0,20.97,40.1,11,3.645454545
0,20.93,39.67,11.72,3.384812287
0,20.92,39.24,12,3.27
0,21.47,38.75,12,3.229166667
0,20.76,38.12,12,3.176666667
0,20.94,38,12,3.166666667
0,21.2,37.52,12.88,2.913043478
0,21.55,37.4,13,2.876923077
0,21.23,37.33,13,2.871538462
0,21.3,36.69,13,2.822307692
0,21.01,35.99,13,2.768461538
0,21.2,35.42,13,2.724615385
0,21.08,35.2,13,2.707692308
0,21.07,35.2,13,2.707692308
0,21.31,35.16,13.07,2.690130069
0,21.56,34.7,14,2.478571429
0,21.35,34.7,14,2.478571429
0,21.05,34.7,14,2.478571429
0,22.01,34.7,14,2.478571429
0,21.34,34.7,14,2.478571429
0,21.26,34.7,14,2.478571429
0,21.12,34.73,13.93,2.493180187
0,21.12,35.2,13,2.707692308
0,21.91,35.2,13,2.707692308
0,21.01,35.2,13,2.707692308
0,21.07,34.84,13.73,2.537509104
0,21.19,34.7,14,2.478571429
0,21.17,34.7,14,2.478571429
0,21.1,34.7,14,2.478571429
0,21.06,34.6,14,2.471428571
0,21.01,34.5,14,2.464285714
0,21.29,34.2,14,2.442857143
0,21.09,34.2,14,2.442857143
0,21.05,34.2,14,2.442857143
0,20.98,34.64,14,2.474285714
0,20.93,34.8,13.82,2.518089725
0,20.29,35.2,13,2.707692308
0,21.09,35.46,13,2.727692308
0,21.1,35.83,13,2.756153846
0,21.34,36.3,13,2.792307692
0,21.14,36.21,13,2.785384615
0,21.88,35.57,13,2.736153846
0,21.02,35.43,13,2.725384615
0,20.83,35.43,13,2.725384615
0,21.01,35.6,13,2.738461538
0,20.83,35.6,13,2.738461538
0,21.31,35.6,13,2.738461538
0,21.01,35.6,13,2.738461538
0,21.11,35.6,13,2.738461538
0,20.84,35.95,13,2.765384615
0,20.9,36.48,13,2.806153846
0,20.85,36.9,13,2.838461538
0,20.8,36.9,13,2.838461538
0,21.21,36.9,13,2.838461538
0,21.31,36.9,13,2.838461538
0,20.74,37.23,13,2.863846154
0,21.16,37.4,13,2.876923077
0,21.15,37.4,13,2.876923077
0,20.95,37.4,13,2.876923077
0,21.17,37.32,13,2.870769231
0,21.27,36.9,13,2.838461538
0,21.14,36.97,13,2.843846154
0,21.52,37.28,13,2.867692308
0,21.19,37.15,13,2.857692308
0,21.24,36.74,13,2.826153846
0,22.4,36.3,13,2.792307692
0,21.46,35.9,13,2.761538462
0,21.22,36.3,13,2.792307692
0,20.89,36.3,13,2.792307692
0,21.34,36.32,13,2.793846154
0,21.04,36.31,13,2.793076923
0,21.3,36.31,13,2.793076923
0,21.15,35.8,13,2.753846154
0,21.25,35.6,13,2.738461538
0,21.33,35.6,13,2.738461538
0,21.03,35.6,13,2.738461538
0,21.01,35.6,13,2.738461538
0,21.2,35.86,13,2.758461538
0,21.24,36.3,13,2.792307692
0,21.24,36.31,13,2.793076923
0,21.28,36.3,13,2.792307692
0,21.22,36.31,13,2.793076923
0,21.14,36.31,13,2.793076923
0,21.25,36.3,13,2.792307692
0,21.29,36.3,13,2.792307692
0,21.34,35.66,13,2.743076923
0,21.23,35.6,13,2.738461538
0,21.03,35.41,13,2.723846154
0,20.91,35.2,13,2.707692308
0,21.81,35.2,13,2.707692308
0,21.16,35.39,13,2.722307692
0,21.06,35.6,13,2.738461538
0,21.16,35.6,13,2.738461538
0,20.07,35.6,13,2.738461538
0,20.87,35.6,13,2.738461538
0,20.52,35.6,13,2.738461538
0,20.97,35.61,13,2.739230769
0,21.01,35.6,13,2.738461538
0,20.9,35.6,13,2.738461538
0,20.75,35.3,13,2.715384615
0,21.07,35.2,13,2.707692308
0,21.02,35.2,13,2.707692308
0,20.94,35.25,13,2.711538462
0,20.92,35.6,13,2.738461538
0,20.76,35.6,13,2.738461538
0,20.83,35.6,13,2.738461538
0,20.7,35.37,13,2.720769231
0,21.09,34.96,13.48,2.59347181
0,20.87,34.7,14,2.478571429
0,20.91,34.7,14,2.478571429
0,21.11,34.7,14,2.478571429
0,20.76,34.89,13.62,2.561674009
0,21,34.7,14,2.478571429
0,21.14,34.7,14,2.478571429
0,20.6,34.7,14,2.478571429
0,20.97,34.7,14,2.478571429
0,20.9,34.7,14,2.478571429
0,20.39,34.7,14,2.478571429
0,20.95,34.7,14,2.478571429
0,20.77,34.7,14,2.478571429
0,20.68,34.7,14,2.478571429
0,20.44,34.7,14,2.478571429
0,20.91,34.7,14,2.478571429
0,20.84,34.7,14,2.478571429
0,20.95,34.86,13.68,2.548245614
0,21.09,34.81,13.78,2.526124819
0,20.68,34.7,14,2.478571429
0,20.82,35.09,13.22,2.654311649
0,20.88,34.9,13.62,2.562408223
0,21.06,34.78,13.85,2.511191336
0,20.79,34.99,13.42,2.607302534
0,20.91,34.7,14,2.478571429
0,21.02,34.7,14,2.478571429
0,20.94,34.7,14,2.478571429
0,20.71,34.61,14,2.472142857
0,20.23,34.2,14,2.442857143
0,20.69,34.55,14,2.467857143
0,20.71,34.7,14,2.478571429
0,20.95,34.7,14,2.478571429
0,20.6,34.7,14,2.478571429
0,20.91,34.7,14,2.478571429
0,20.74,34.65,14,2.475
0,20.8,34.2,14,2.442857143
0,20.7,34.2,14,2.442857143
0,20.63,33.88,14,2.42
0,20.64,33.8,14,2.414285714
1,18.98,33.8,14,2.414285714
1,20.95,33.8,14,2.414285714
1,20.5,33.42,14,2.387142857
1,20.97,33.3,14,2.378571429
1,21.22,33.38,14,2.384285714
1,21.3,33.8,14,2.414285714
1,21.02,33.8,14,2.414285714
1,21.45,33.8,14,2.414285714
1,21.14,33.8,14,2.414285714
1,21.62,33.8,14,2.414285714
1,21.61,33.8,14,2.414285714
1,22.03,33.8,14,2.414285714
1,21.73,33.55,14,2.396428571
1,21.87,33.54,14,2.395714286
1,22.54,33.57,14,2.397857143
1,22.86,33.32,14,2.38
0,25.21,33.3,14,2.378571429
0,22.62,33.3,14,2.378571429
0,21.89,33.08,14.37,2.302018093
0,21.36,32.99,14.57,2.264241592
0,20.73,32.8,15,2.186666667
0,21.8,32.96,14.67,2.2467621
0,21.07,33.29,14,2.377857143
0,21.27,33.3,14,2.378571429
0,21.04,33.3,14,2.378571429
0,21.04,32.65,14.93,2.18687207
0,21.03,32.3,15,2.153333333
0,21.14,32.3,15,2.153333333
0,21.09,32.3,15,2.153333333
0,20.98,32.3,15,2.153333333
0,20.63,32.3,15,2.153333333
0,20.94,32.3,15,2.153333333
0,20.7,32.3,15,2.153333333
0,20.7,32.04,15,2.136
0,20.65,31.8,15,2.12
0,20.88,31.8,15,2.12
0,20.6,31.8,15,2.12
0,20.5,31.8,15,2.12
0,20.94,31.8,15,2.12
0,20.73,31.8,15,2.12
0,21.04,32.08,15,2.138666667
1,19.69,32.3,15,2.153333333
1,20.4,32.3,15,2.153333333
1,20.56,32.3,15,2.153333333
1,20.25,32.3,15,2.153333333
1,20.48,32.3,15,2.153333333
1,20.42,32.3,15,2.153333333
1,21.48,32.3,15,2.153333333
1,20.59,32.27,15,2.151333333
1,19.81,31.8,15,2.12
1,20.64,31.8,15,2.12
1,20.7,31.8,15,2.12
1,20.7,31.8,15,2.12
1,20.58,31.8,15,2.12
1,20.38,32.02,15,2.134666667
1,20.43,32.3,15,2.153333333
1,20.74,32.3,15,2.153333333
1,20.36,32.3,15,2.153333333
1,20.54,32.3,15,2.153333333
